initialization,final_train_loss,final_val_loss,final_val_accuracy,epoch_to_loss_0.01
zero,0.6929718868151915,0.6946363453586489,0.4625,
small,0.0007374686799396665,0.0003679382679499173,1.0,115.0
large,3.721014465939888e-05,0.004235210337419791,1.0,11.0
xavier,0.0007123064621567053,0.0003700621653266418,1.0,88.0
he,0.0007028595429931832,0.00036853486853310796,1.0,82.0
